nikkei_breakout_date,nikkei_event_type,nikkei_5d_fallback,code,ticker,company,sector,official_weight,normalized_top30_weight,component_breakout20,component_breakout60,component_volume_confirmed,component_volume_ratio_60d,component_breakout20_volume_confirmed,component_breakout60_volume_confirmed,component_breakout20_5d_no_fallback,component_breakout60_5d_no_fallback,component_close_position20
2016-12-20,breakout_60d,True,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.05584900,0.08740528,False,False,False,1.145502,False,False,False,False,0.932107
2016-12-20,breakout_60d,True,9433,9433.T,KDDI CORP.,Technology,0.02139300,0.03348065,False,False,False,0.965402,False,False,False,False,0.774648
2016-12-20,breakout_60d,True,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.02048500,0.03205961,False,False,False,0.662294,False,False,False,False,0.832596
2016-12-20,breakout_60d,True,6762,6762.T,TDK CORP.,Technology,0.01930400,0.03021131,False,False,False,0.818172,False,False,False,False,0.927083
2016-12-20,breakout_60d,True,6954,6954.T,FANUC CORP.,Technology,0.01735300,0.02715794,False,False,False,0.639892,False,False,False,False,0.560302
2016-12-20,breakout_60d,True,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.01691000,0.02646463,True,False,False,1.094565,False,False,False,False,1.190476
2016-12-20,breakout_60d,True,5803,5803.T,FUJIKURA LTD.,Materials,0.01606400,0.02514062,False,False,False,0.945264,False,False,False,False,0.641509
2016-12-20,breakout_60d,True,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.01281500,0.02005584,False,False,False,0.665111,False,False,False,False,0.927536
2016-12-20,breakout_60d,True,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01265600,0.01980700,False,False,False,0.746299,False,False,False,False,0.921739
2016-12-20,breakout_60d,True,6971,6971.T,KYOCERA CORP.,Technology,0.01245300,0.01948930,True,True,False,0.992155,False,False,False,False,1.003373
2016-12-20,breakout_60d,True,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01223100,0.01914186,False,False,False,0.909632,False,False,False,False,0.890756
