date,close,base_position_v3,market_regime,ret1,ret3,ret5,ret10,ret20,dist_ma20,dist_ma50,dist_ma200,ma50_over_ma200,ma200_slope20,volume_ratio60,breakout20,breakout60,breakdown20,breakdown60,below200,dist_res20,dist_sup20,dist_sup60,future20_return,future20_drawdown,adjustment_label,component_b20_vol_count,component_b60_vol_count,component_vol_down_count,component_bd20_vol_count,weighted_b20_vol,weighted_b60_vol,weighted_vol_down,weighted_bd20_vol,component_above200_breadth,avg_component_vr,regime_bull,regime_range,regime_bear,signal_date,horizon_1d_close_return,horizon_3d_close_return,horizon_5d_close_return,horizon_1d_max_drawdown,horizon_3d_max_drawdown,horizon_5d_max_drawdown,next_signal_primary_adjustment,next_signal_secondary_adjustment,signal_direction,action_type,rating_state,signal_family,sample_source,sample_id,is_replay_outcome_observed,candidate_event_type,candidate_action_label,candidate_stood_1d,candidate_stood_3d,candidate_stood_5d,candidate_future_10d_return,downside_event_type,downside_label,downside_suggested_action,downside_weighted_volume_down_breadth,downside_weighted_breakdown20_breadth,execution_date,market_symbol,etf_symbol,train_policy,primary_model_id,secondary_model_id,primary_adjustment,secondary_adjustment,primary_prob_down,secondary_prob_down,target_position_proxy,planned_action,planned_target_shares,planned_trade_shares,holdings_before_shares,cash_before_cny,cost_price_cny,market_price_cny,position_before_pct,signal_rationale,rating_change_reason,rating_change_review,guidance_for_next_session,execution_status,executed_date,executed_sell_shares,executed_buy_shares,executed_avg_price_cny,holdings_after_shares,cash_after_cny,position_after_pct,review_status,review_horizon,review_price_change_pct,review_note,source_artifacts,created_at,updated_at,replay_label_1d,replay_label_3d,replay_label_5d,continuation_label_version,continuation_label_1d,is_outcome_observed_1d,continuation_label_3d,is_outcome_observed_3d,continuation_label_5d,is_outcome_observed_5d,is_continuation_eligible
2017-03-21,19455.88085938,0.0,bull,-0.00336596,-0.00620614,-0.00905936,0.00395994,0.0106384,0.00248197,0.0105825,0.10405449,0.09249319,0.01582405,0.81447964,0.0,0.0,0.0,0.0,0.0,-0.01078548,0.02423357,0.04319231,-0.05331504,-0.0632817,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.04275814,0.03021131,0.93633934,0.85758644,1.0,0.0,0.0,2017-03-21,-0.02130461236866399,-0.009937949553529557,-0.013004382612572196,-0.02130461236866399,-0.02130461236866399,-0.02417217801800342,0.0,0.0,hold,hold_watch,neutral_hold,daily_position,historical_research,historical_55_2017-03-21,True,near_resistance_20d,resistance_reject_watch,,,,-0.03318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-22,19041.38085938,0.0,bull,-0.02130461,-0.02801204,-0.02897163,-0.01565174,-0.01754558,-0.01939292,-0.01094917,0.07973007,0.09168309,0.01604891,1.09660155,0.0,0.0,0.0,0.0,0.0,-0.03186031,0.00241267,0.0209675,-0.03199251,-0.04289086,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.21732299,0.131525,0.73840392,1.18521343,1.0,0.0,0.0,2017-03-22,0.00230706416852966,-0.0029299879059199174,0.009248258341687077,0.00230706416852966,-0.0029299879059199174,-0.0029299879059199174,0.0,0.0,hold,hold_watch,neutral_hold,support_test,historical_research,historical_55_2017-03-22,True,near_support_20d,support_fail_watch,,,,-0.00945894,near_support_20d,mixed_downside_signal,watch,0.21732299,0.47039749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-23,19085.31054688,0.0,bull,0.00230706,-0.02234855,-0.02513463,-0.00876278,-0.0151992,-0.01626921,-0.00839947,0.08161592,0.09077788,0.01602376,0.97054931,0.0,0.0,0.0,0.0,0.0,-0.02962675,0.0047253,0.02332294,-0.03431017,-0.04509389,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.05757427,0.01220879,0.73840392,0.88653985,1.0,0.0,0.0,2017-03-23,0.009285609975519638,0.0061596374578887225,-0.0011574264775905396,0.009285609975519638,-0.005224997669545428,-0.005224997669545428,0.0,0.0,hold,hold_watch,neutral_hold,support_test,historical_research,historical_55_2017-03-23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-24,19262.52929688,0.0,bull,0.00928561,-0.00993795,-0.01672328,-0.00290139,-0.00562331,-0.00638038,0.00109875,0.09108731,0.08988979,0.01594535,1.02326451,0.0,0.0,0.0,0.0,0.0,-0.02061624,0.01521994,0.03282511,-0.0333175,-0.0538792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93633934,0.99062982,1.0,0.0,0.0,2017-03-24,-0.014377107432867353,-0.0023386766834039285,-0.018339727136312156,-0.014377107432867353,-0.014377107432867353,-0.018339727136312156,0.0,0.0,hold,hold_watch,neutral_hold,daily_position,historical_research,historical_55_2017-03-24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-27,18985.58984375,0.0,bull,-0.01437711,-0.00292999,-0.02745678,-0.0315752,-0.01545096,-0.02039053,-0.01342524,0.07469851,0.08932293,0.01581834,0.9625498,0.0,0.0,0.0,0.0,0.0,-0.03469695,0.00062401,0.01797608,-0.00577854,-0.0400783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0194893,0.0,0.73840392,0.89015457,1.0,0.0,0.0,2017-03-27,0.011444432259318349,0.004088935872358812,-0.00012427188301322722,0.011444432259318349,0.004088935872358812,-0.004020421738707647,0.0,0.0,hold,hold_watch,neutral_hold,support_test,historical_research,historical_55_2017-03-27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-28,19202.86914062,0.0,bull,0.01144443,0.00615964,-0.01300438,-0.02194593,0.00499273,-0.00841725,-0.00182148,0.08625288,0.08823508,0.01559925,0.97313211,0.0,0.0,0.0,0.0,0.0,-0.0236496,0.01207559,0.02962624,-0.00643336,-0.05093976,0.0,2.0,0.0,0.0,0.0,0.13356266,0.0,0.0,0.0,0.7546004,1.06143197,1.0,0.0,0.0,2017-03-28,0.0007608929698474931,-0.015289870115238413,-0.02044585825924783,0.0007608929698474931,-0.015289870115238413,-0.02044585825924783,0.0,0.0,hold,hold_watch,neutral_hold,daily_position,historical_research,historical_55_2017-03-28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-29,19217.48046875,0.0,bull,0.00076089,-0.00233868,0.00924826,-0.01999131,0.00515143,-0.00790712,-0.00117373,0.08629266,0.08756918,0.0154595,0.91045721,0.0,0.0,0.0,0.0,0.0,-0.0229067,0.01284567,0.03040967,0.00374395,-0.05166134,0.0,2.0,2.0,0.0,0.0,0.13085829,0.13085829,0.0,0.0,0.73840392,0.98821376,1.0,0.0,0.0,2017-03-29,-0.008027054632933961,-0.012189423081809259,-0.018535777261709407,-0.008027054632933961,-0.016038559457947854,-0.021190627429657494,0.0,0.0,hold,hold_watch,neutral_hold,daily_position,historical_research,historical_55_2017-03-29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-30,19063.22070312,0.0,bull,-0.00802705,0.00408894,-0.00115743,-0.02626297,-0.01703239,-0.01612084,-0.00960724,0.07677028,0.08721542,0.0153705,0.99113682,0.0,0.0,0.0,0.0,0.0,-0.03074989,0.0047155,0.02213852,0.00989594,-0.04398737,0.0,2.0,2.0,0.0,0.0,0.13085829,0.13085829,0.0,0.0,0.73840392,0.87419855,1.0,0.0,0.0,2017-03-30,-0.008076333999259777,-0.01327009255464362,-0.024453378760059596,-0.008076333999259777,-0.01327009255464362,-0.024453378760059596,0.0,0.0,hold,hold_watch,neutral_hold,support_test,historical_research,historical_55_2017-03-30,True,near_support_20d,support_fail_watch,,,,-0.03338265,near_support_20d,low_volume_support_test_watch_hold,hold_or_watch_rebound,0.0,0.16443128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-03-31,18909.25976562,0.0,bull,-0.00807633,-0.01528987,-0.01833973,-0.0347563,-0.03350614,-0.02323437,-0.01777831,0.06735415,0.08667336,0.0152318,1.18671704,0.0,0.0,1.0,0.0,0.0,-0.03857787,-0.00339892,0.01388338,0.01520316,-0.03620343,0.0,1.0,1.0,6.0,1.0,0.01643749,0.01643749,0.21452785,0.03348065,0.72603707,1.15435264,1.0,0.0,0.0,2017-03-31,0.0039118772520376766,-0.0025379224234496345,-0.012936990092270895,0.0039118772520376766,-0.005236046616696077,-0.016510388170119183,0.0,0.0,hold,hold_watch,neutral_hold,breakdown_followthrough,historical_research,historical_55_2017-03-31,True,breakdown_20d,false_breakdown_avoid_panic_sell,False,False,False,-0.03033587,breakdown_20d,price_breakdown_without_broad_volume_confirm,reduce_partial_or_wait_reclaim,0.21452785,0.11109511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
2017-04-03,18983.23046875,0.0,bull,0.00391188,-0.01218942,-0.00012427,-0.02757764,-0.02495943,-0.01775032,-0.01376898,0.07090134,0.08585243,0.01495899,1.06943633,0.0,0.0,0.0,0.0,0.0,-0.03425079,0.00391188,0.01784957,0.01724096,-0.03995899,0.0,1.0,1.0,5.0,2.0,0.1144208,0.1144208,0.09900057,0.04982112,0.73840392,0.97473828,1.0,0.0,0.0,2017-04-03,-0.009112277756663123,-0.020342687326359465,-0.009763860248924505,-0.009112277756663123,-0.020342687326359465,-0.020342687326359465,0.0,0.0,hold,hold_watch,neutral_hold,support_test,historical_research,historical_55_2017-04-03,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inconclusive,inconclusive,inconclusive,nikkei_continuation_head_v1,,True,,True,,True,False
