trade_date,policy_name,selected_flag
2021-02-17,time_or_fail_to_rebound,1
2021-02-18,time_or_fail_to_rebound,1
2021-02-19,time_or_fail_to_rebound,1
2021-02-26,time_or_fail_to_rebound,1
2021-03-01,time_or_fail_to_rebound,1
2021-03-02,time_or_fail_to_rebound,1
2021-03-03,time_or_fail_to_rebound,1
2021-03-04,time_or_fail_to_rebound,1
2021-03-08,time_or_fail_to_rebound,1
2021-03-30,time_or_fail_to_rebound,1
2021-06-17,time_or_fail_to_rebound,1
2021-06-18,time_or_fail_to_rebound,1
2021-06-21,time_or_fail_to_rebound,1
2021-06-22,time_or_fail_to_rebound,1
2021-06-23,time_or_fail_to_rebound,1
2021-08-06,time_or_fail_to_rebound,1
2021-08-09,time_or_fail_to_rebound,1
2021-08-10,time_or_fail_to_rebound,1
2021-08-11,time_or_fail_to_rebound,1
2021-08-12,time_or_fail_to_rebound,1
2021-09-16,time_or_fail_to_rebound,1
2021-09-17,time_or_fail_to_rebound,1
2021-09-28,time_or_fail_to_rebound,1
2021-09-29,time_or_fail_to_rebound,1
2021-11-23,time_or_fail_to_rebound,1
2021-11-24,time_or_fail_to_rebound,1
2021-11-26,time_or_fail_to_rebound,1
2021-11-29,time_or_fail_to_rebound,1
2022-01-28,time_or_fail_to_rebound,1
2022-03-16,time_or_fail_to_rebound,1
2022-04-25,time_or_fail_to_rebound,1
2022-04-26,time_or_fail_to_rebound,1
2022-04-27,time_or_fail_to_rebound,1
2022-04-28,time_or_fail_to_rebound,1
2022-05-12,time_or_fail_to_rebound,1
2022-05-13,time_or_fail_to_rebound,1
2022-05-16,time_or_fail_to_rebound,1
2022-06-14,time_or_fail_to_rebound,1
2022-07-05,time_or_fail_to_rebound,1
2022-07-06,time_or_fail_to_rebound,1
2022-07-07,time_or_fail_to_rebound,1
2022-07-08,time_or_fail_to_rebound,1
2022-07-11,time_or_fail_to_rebound,1
2022-07-12,time_or_fail_to_rebound,1
2022-07-15,time_or_fail_to_rebound,1
2022-07-20,time_or_fail_to_rebound,1
2022-08-22,time_or_fail_to_rebound,1
2022-08-31,time_or_fail_to_rebound,1
2022-09-01,time_or_fail_to_rebound,1
2022-09-06,time_or_fail_to_rebound,1
2022-09-15,time_or_fail_to_rebound,1
2022-09-16,time_or_fail_to_rebound,1
2022-09-19,time_or_fail_to_rebound,1
2022-09-20,time_or_fail_to_rebound,1
2022-09-26,time_or_fail_to_rebound,1
2022-10-14,time_or_fail_to_rebound,1
2022-10-19,time_or_fail_to_rebound,1
2022-10-20,time_or_fail_to_rebound,1
2022-11-03,time_or_fail_to_rebound,1
2023-02-03,time_or_fail_to_rebound,1
2023-02-06,time_or_fail_to_rebound,1
2023-02-07,time_or_fail_to_rebound,1
2023-02-08,time_or_fail_to_rebound,1
2023-02-09,time_or_fail_to_rebound,1
2023-02-15,time_or_fail_to_rebound,1
2023-05-18,time_or_fail_to_rebound,1
2023-06-22,time_or_fail_to_rebound,1
2023-09-27,time_or_fail_to_rebound,1
2023-09-28,time_or_fail_to_rebound,1
2023-09-29,time_or_fail_to_rebound,1
2023-10-02,time_or_fail_to_rebound,1
2023-10-03,time_or_fail_to_rebound,1
2023-10-04,time_or_fail_to_rebound,1
2023-10-05,time_or_fail_to_rebound,1
2023-11-10,time_or_fail_to_rebound,1
2024-02-13,time_or_fail_to_rebound,1
2024-02-14,time_or_fail_to_rebound,1
2024-06-13,time_or_fail_to_rebound,1
2024-11-06,time_or_fail_to_rebound,1
2024-11-11,time_or_fail_to_rebound,1
2024-11-12,time_or_fail_to_rebound,1
2024-11-13,time_or_fail_to_rebound,1
